Application_id, Seat_allotted, Paper, Quota, Choice_no, Rank, Marks, StatusId, Auto Upgrade
M103Y28, 1204, BT, OBC, 2, 198, 27.33, 1, true
M111R13, 1805, PH, GEN, 4, 201, 37, 3, true
M107V35, 1805, PH, GEN, 8, 201, 37, 3, true
M102S72, 1805, PH, GEN, 6, 201, 37, 3, true
M101U42, 1805, PH, GEN, 4, 206, 37, 1, true
M106K53, 1805, PH, GEN, 6, 206, 37, 3, true
M105K92, 2101, CY, GEN, 6, 207, 54, 1, true
M111A99, 2101, CY, GEN, 6, 208, 53.67, 3, true
M101M23, 1403, PH, GEN, 6, 210, 36.67, 3, true
M108E22, 1403, PH, GEN, 7, 210, 36.67, 1, true
M107W39, 1403, PH, GEN, 7, 210, 36.67, 3, true
M105V83, 1805, PH, GEN, 4, 210, 36.67, 3, true
M108B73, 1402, MA, GEN, 4, 216, 37.33, 3, true
M102G33, 1403, PH, GEN, 1, 219, 36.33, 3, true
M112R83, 1402, MA, GEN, 8, 219, 37.33, 3, true
M104D21, 1402, MA, GEN, 3, 220, 37.33, 3, true
M104Z85, 1402, MA, GEN, 1, 221, 37, 3, true
M103D92, 1802, BT, OBC, 1, 221, 27, 1, true
M107A80, 1901, CY, GEN, 9, 223, 53, 3, true
M119Z23, 1403, PH, GEN, 3, 223, 36.33, 3, true
M103H95, 1403, PH, GEN, 6, 223, 36.33, 3, true
M112G96, 1602, GG, SC, 2, 224, 47, 3, true
M104X99, 1901, CY, GEN, 8, 224, 52.67, 1, true
M103J70, 1403, PH, GEN, 4, 225, 36.33, 1, true
M105V31, 1403, PH, GEN, 4, 228, 36, 3, true
M113E87, 1403, PH, GEN, 4, 228, 36, 3, true
M106K80, 1402, MA, GEN, 7, 229, 36.67, 3, true
M105B76, 1403, PH, GEN, 4, 230, 36, 3, true
M104X71, 1403, PH, GEN, 8, 230, 36, 3, true
M102H87, 1403, PH, GEN, 5, 230, 36, 3, true
M115W20, 1216, PH, GEN, 7, 230, 36, 1, true
M101U32, 2001, CY, GEN, 7, 232, 52.33, 3, true
M101P81, 2001, CY, GEN, 7, 232, 52.33, 3, true
M122B31, 1605, PH, GEN, 4, 235, 36, 3, true
M110J92, 1204, BT, OBC, 5, 236, 26.67, 1, true
M106H24, 2201, CY, GEN, 7, 238, 52, 3, true
M102H91, 2102, MA, GEN, 7, 239, 36.33, 3, true
M111Q73, 1801, GG, SC, 1, 241, 45.67, 1, true
M110U74, 2002, MA, GEN, 8, 244, 36.33, 3, true
M104A43, 1605, PH, GEN, 5, 246, 35.67, 3, true
M106Q11, 2103, PH, GEN, 6, 246, 35.67, 3, true
M102U90, 2103, PH, GEN, 9, 246, 35.67, 3, true
M102G32, 2102, MA, GEN, 7, 246, 36.33, 3, true
M104U38, 1605, PH, GEN, 9, 246, 35.67, 3, true
M106K74, 2401, CY, GEN, 9, 246, 51.67, 1, true
M105J26, 2401, CY, GEN, 10, 246, 51.67, 1, true
M112J48, 1602, GG, SC, 1, 247, 45.33, 3, true
M113E16, 2102, MA, GEN, 6, 247, 36, 3, true
M103G11, 2002, MA, GEN, 6, 248, 36, 1, true
M108P48, 2103, PH, GEN, 2, 252, 35.67, 1, true
M112F32, 2103, PH, GEN, 12, 253, 35.67, 3, true
M103K53, 2103, PH, GEN, 5, 254, 35.33, 1, true
M102P35, 2003, PH, GEN, 9, 254, 35.33, 3, true
M103C40, 1903, PH, GEN, 3, 256, 35.33, 3, true
M101D44, 1801, GG, SC, 1, 261, 44.67, 3, true
M111J36, 2202, PH, GEN, 8, 261, 35.33, 1, true
M102A61, 2003, PH, GEN, 16, 263, 35.33, 3, true
M105B46, 1903, PH, GEN, 7, 265, 35, 3, true
M103T63, 1902, MA, GEN, 3, 265, 35.67, 1, true
M107K54, 1903, PH, GEN, 11, 265, 35, 1, true
M103K20, 2301, MA, GEN, 2, 265, 35.67, 1, true
M113W66, 1903, PH, GEN, 9, 267, 35, 3, true
M108H85, 1902, MA, GEN, 5, 267, 35.67, 3, true
M108U14, 2202, PH, GEN, 10, 267, 35, 3, true
M101D50, 2202, PH, GEN, 9, 267, 35, 1, true
M111G77, 2202, PH, GEN, 2, 267, 35, 3, true
M102N50, 1902, MA, GEN, 11, 268, 35.33, 3, true
M117E47, 2203, MA, GEN, 14, 268, 35.33, 3, true
M110G70, 2203, MA, GEN, 5, 271, 35.33, 1, true
M106Q75, 2203, MA, GEN, 6, 271, 35.33, 1, true
M121K48, 1902, MA, GEN, 1, 271, 35.33, 1, true
M111P54, 2402, PH, GEN, 10, 273, 34.67, 1, true
