application_id,seat_allotted,paper,quota,choice_no,auto_upgrade,is_provisional,status_id
M106C16,1503,PH,GEN,1,f,f,2
M119E62,1207,PH,ST,1,f,t,2
M105V83,2103,PH,GEN,8,t,t,2
M103D24,1804,MA,GEN,4,f,t,2
M108K96,1602,GG,OBC,2,t,t,2
M102X87,1206,MA,GEN,1,f,t,2
M104G66,1701,CY,SC,1,f,t,2
M101A52,1702,MA,GEN,2,t,t,2
M106J45,1201,GG,OBC,1,f,t,2
M112U75,1204,BT,GEN,1,f,t,2
M105F48,1904,GG,OBC,4,t,t,2
M105H65,1201,GG,GEN,1,f,t,2
M109J34,1104,PH,GEN,1,f,t,2
M114D55,1208,GG,GEN,1,f,t,2
M103W36,1301,CY,GEN,3,t,t,2
M103K50,1504,MS,GEN,1,f,t,2
M105Z92,1805,PH,SC,4,t,t,2
M109W86,1201,GG,GEN,1,f,t,2
M102R73,1205,CY,GEN,1,f,t,2
M101U32,2401,CY,GEN,8,t,t,2
M102M92,1401,CY,GEN,4,t,t,2
M103W82,1403,PH,GEN,7,t,t,2
M107E12,1701,CY,GEN,2,t,t,2
M106Y41,1303,PH,OBC,1,t,t,2
M114B14,1701,CY,GEN,4,t,t,2
M101U61,1204,BT,ST,3,f,t,2
M111V47,1702,MA,ST,1,f,t,2
M105D49,1206,MA,GEN,2,t,t,2
M103D72,1402,MA,SC,1,f,t,2
M107M55,1502,MA,GEN,3,t,f,2
M117R79,1503,PH,ST,2,f,t,2
M111P87,1207,PH,GEN,1,f,t,2
M112X13,1502,MA,GEN,2,t,f,2
M101M23,1903,PH,GEN,9,t,t,2
M102P35,2202,PH,GEN,10,t,t,2
M112C66,1402,MA,GEN,5,t,t,2
M106D95,1701,CY,OBC,3,t,t,2
M116N91,1801,GG,OBC-PwD,2,t,t,2
M108G82,1207,PH,GEN,1,f,t,2
M106P34,1501,CY,GEN,1,f,t,2
M106W68,1206,MA,OBC,2,f,t,2
M110U71,1804,MA,GEN,4,t,t,2
M111R49,1205,CY,GEN,2,t,t,2
M108V87,1701,CY,GEN,4,t,t,2
M111F71,1301,CY,OBC,1,f,t,2
M112X97,1302,MA,GEN,1,f,t,2
M101E18,1805,PH,GEN,2,t,t,2
M102F86,1903,PH,OBC,2,t,t,2
M115X89,1601,CY,SC,1,t,t,2
M114G33,2202,PH,OBC,2,f,t,2
M101V76,1802,BT,GEN,3,t,t,2
M109G46,1303,PH,ST,1,f,t,2
M101Z68,1703,PH,GEN,1,f,t,2
M108K37,1302,MA,OBC,1,t,t,2
M115F17,1903,PH,SC,2,t,t,2
M104W79,1701,CY,GEN,3,t,t,2
M105D73,1702,MA,GEN,3,t,t,2
M112B10,1804,MA,SC,4,t,t,2
M105B66,1214,MS,SC,2,t,f,2
M111J82,1802,BT,OBC,1,f,t,2
M120B31,1802,BT,OBC,1,t,t,2
M108R30,1206,MA,SC,1,f,t,2
M102H13,1303,PH,GEN,2,t,t,2
M104R86,1205,CY,OBC,1,f,t,2
M108C59,1905,MS,GEN,5,t,t,2
